job_id,phase,script_path,candidate,seed,partition,constraint,gres,cpus,mem,time_requested,host,state,exit_code,elapsed,artifact_path,metrics_path,next_action,notes
20487393,5,goal-3/prepare-env.sbatch,env-prep,,share,,none,16,64G,02:00:00,cn-r-6,FAILED,1:0,00:00:12,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-env-prep-20487393,,patch_and_retry,"default Python exposed no torch==2.9.1+cu128 wheel; patched prepare-env to load python/3.12"
20487394,5,goal-3/prepare-env.sbatch,env-prep,,share,,none,16,64G,02:00:00,cn-r-6,FAILED,3:0,00:00:01,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-env-prep-20487394,,split_lrzip_and_retry,"lrzip missing on PATH; added prepare-tools.sbatch and changed env prep to warn instead of fail"
20487397,5,goal-3/prepare-env.sbatch,env-prep,,share,,none,16,64G,02:00:00,cn-r-6,COMPLETED,0:0,00:03:02,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-env-prep-20487397,,verify_env_smoke,"python/3.12 env ready with torch 2.9.1+cu128 and flash_attn_3; lrzip still separate"
20487398,5,goal-3/prepare-tools.sbatch,tools-prep-lrzip,,share,,none,16,32G,01:00:00,cn-e06,FAILED,1:0,00:00:04,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-tools-prep-20487398,,patch_and_retry,"git source build required autoconf >=2.71; patched tools prep to try v0.651 release tarball first"
20487408,5,goal-3/prepare-tools.sbatch,tools-prep-lrzip,,share,,none,16,32G,01:00:00,cn-r-6,FAILED,22:0,00:00:03,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-tools-prep-20487408,,patch_and_retry,"guessed v0.651 release tarball URL returned 404; patched tools prep to tolerate missing tarball and bootstrap local autoconf 2.72 for git fallback"
20487592,5,goal-3/prepare-tools.sbatch,tools-prep-lrzip,,share,,none,16,32G,01:00:00,cn-r-6,FAILED,127:0,00:00:05,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-tools-prep-20487592,,patch_and_retry,"built local autoconf 2.72 and cloned v0.651; autogen.sh invocation failed, patched to fall back to autoreconf -fi"
20487597,5,goal-3/prepare-tools.sbatch,tools-prep-lrzip,,share,,none,16,32G,01:00:00,cn-e06,FAILED,1:0,00:00:26,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-tools-prep-20487597,,patch_and_retry,"lrzip configure failed because liblzo2-dev is unavailable; patching tools prep to build user-local LZO and link with rpath"
20487604,5,goal-3/prepare-tools.sbatch,tools-prep-lrzip,,share,,none,16,32G,01:00:00,cn-e06,COMPLETED_INVALID,0:0,00:00:56,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-tools-prep-20487604,,patch_and_retry,"Slurm completed but script reported passed after lrzip binary/version check failed; patched final verification to require a runnable binary"
20487611,5,goal-3/prepare-tools.sbatch,tools-prep-lrzip,,share,,none,16,32G,01:00:00,cn-e32,FAILED,1:0,00:00:22,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-tools-prep-20487611,,patch_and_retry,"Hard verification worked; configure now finds local LZO but fails because liblz4-dev is unavailable, so tools prep now builds user-local LZ4 too"
20487613,5,goal-3/prepare-tools.sbatch,tools-prep-lrzip,,share,,none,16,32G,01:00:00,cn-r-4,FAILED,127:0,00:00:18,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-tools-prep-20487613,,patch_and_retry,"User-local LZ4 built, then script stayed in the LZ4 build directory and failed to run lrzip ./configure; patched to cd back to lrzip source after dependency prep"
20487617,5,goal-3/prepare-tools.sbatch,tools-prep-lrzip,,share,,none,16,32G,01:00:00,cn-r-5,COMPLETED,0:0,00:00:36,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-tools-prep-20487617,,h100_env_smoke_gate,"Built user-local lrzip 0.651 with user-local LZO and LZ4; compute-node job status passed, but direct submit-node execution fails due older glibc and is not a valid runtime check"
20487886,8,goal-3/h100-campaign-runner.sbatch,h100-campaign,,dgxh,h100&vram80g,gpu:8,64,500G,06:00:00,dgxh-3,FAILED,1:0,00:00:32,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-h100-campaign-20487886,,ask_before_retry,"Started 2026-06-24T15:08:55 and failed before training because moved venv metadata pointed at deleted tmp env; repaired goal3 activation, torchrun launch path, env metadata, and auto-repair hook on 2026-06-29; latest fixed dry-run job 20516291 predicts 2026-07-02T09:17:55 on dgxh-3"
20517007,8,goal-3/h100-campaign-runner.sbatch,h100-campaign,,dgxh,h100&vram80g,gpu:8,64,500G,06:00:00,dgxh-3,COMPLETED,0:0,02:30:42,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-h100-campaign-20517007,/nfs/hpc/share/peterj29/pg/goal-3-runs/goal3-h100-campaign-20517007/final-status.json,analyze_results,"Submitted fixed campaign at 2026-06-29T14:15:47; actual start 2026-07-01T07:32:15, about 2h earlier than ETA 2026-07-01T09:32:55; campaign status passed; dense baseline post-TTT BPB 1.06843496 at 15,907,532 bytes passed hard gate but missed strict 1.065 parity; qMLP sp16384 three-seed post-TTT mean 1.1300036533, stdev 0.0007609379, all artifacts under 16 MB, no record improvement"
