sp_id,piece,score
0,<pad>,0
1,<s>,0
2,</s>,0
3,<unk>,0
4,<0x00>,0
5,<0x01>,0
6,<0x02>,0
7,<0x03>,0
8,<0x04>,0
9,<0x05>,0
10,<0x06>,0
11,<0x07>,0
12,<0x08>,0
13,<0x09>,0
14,<0x0A>,0
15,<0x0B>,0
16,<0x0C>,0
17,<0x0D>,0
18,<0x0E>,0
19,<0x0F>,0
20,<0x10>,0
21,<0x11>,0
22,<0x12>,0
23,<0x13>,0
24,<0x14>,0
25,<0x15>,0
26,<0x16>,0
27,<0x17>,0
28,<0x18>,0
29,<0x19>,0
30,<0x1A>,0
31,<0x1B>,0
32,<0x1C>,0
33,<0x1D>,0
34,<0x1E>,0
35,<0x1F>,0
36,<0x20>,0
37,<0x21>,0
38,<0x22>,0
39,<0x23>,0
40,<0x24>,0
41,<0x25>,0
42,<0x26>,0
43,<0x27>,0
44,<0x28>,0
45,<0x29>,0
46,<0x2A>,0
47,<0x2B>,0
48,<0x2C>,0
49,<0x2D>,0
50,<0x2E>,0
51,<0x2F>,0
52,<0x30>,0
53,<0x31>,0
54,<0x32>,0
55,<0x33>,0
56,<0x34>,0
57,<0x35>,0
58,<0x36>,0
59,<0x37>,0
60,<0x38>,0
61,<0x39>,0
62,<0x3A>,0
63,<0x3B>,0
64,<0x3C>,0
65,<0x3D>,0
66,<0x3E>,0
67,<0x3F>,0
68,<0x40>,0
69,<0x41>,0
70,<0x42>,0
71,<0x43>,0
72,<0x44>,0
73,<0x45>,0
74,<0x46>,0
75,<0x47>,0
76,<0x48>,0
77,<0x49>,0
78,<0x4A>,0
79,<0x4B>,0
80,<0x4C>,0
81,<0x4D>,0
82,<0x4E>,0
83,<0x4F>,0
84,<0x50>,0
85,<0x51>,0
86,<0x52>,0
87,<0x53>,0
88,<0x54>,0
89,<0x55>,0
90,<0x56>,0
91,<0x57>,0
92,<0x58>,0
93,<0x59>,0
94,<0x5A>,0
95,<0x5B>,0
96,<0x5C>,0
97,<0x5D>,0
98,<0x5E>,0
99,<0x5F>,0
100,<0x60>,0
101,<0x61>,0
102,<0x62>,0
103,<0x63>,0
104,<0x64>,0
105,<0x65>,0
106,<0x66>,0
107,<0x67>,0
108,<0x68>,0
109,<0x69>,0
110,<0x6A>,0
111,<0x6B>,0
112,<0x6C>,0
113,<0x6D>,0
114,<0x6E>,0
115,<0x6F>,0
116,<0x70>,0
117,<0x71>,0
118,<0x72>,0
119,<0x73>,0
120,<0x74>,0
121,<0x75>,0
122,<0x76>,0
123,<0x77>,0
124,<0x78>,0
125,<0x79>,0
126,<0x7A>,0
127,<0x7B>,0
128,<0x7C>,0
129,<0x7D>,0
130,<0x7E>,0
131,<0x7F>,0
132,<0x80>,0
133,<0x81>,0
134,<0x82>,0
135,<0x83>,0
136,<0x84>,0
137,<0x85>,0
138,<0x86>,0
139,<0x87>,0
140,<0x88>,0
141,<0x89>,0
142,<0x8A>,0
143,<0x8B>,0
144,<0x8C>,0
145,<0x8D>,0
146,<0x8E>,0
147,<0x8F>,0
148,<0x90>,0
149,<0x91>,0
150,<0x92>,0
151,<0x93>,0
152,<0x94>,0
153,<0x95>,0
154,<0x96>,0
155,<0x97>,0
156,<0x98>,0
157,<0x99>,0
158,<0x9A>,0
159,<0x9B>,0
160,<0x9C>,0
161,<0x9D>,0
162,<0x9E>,0
163,<0x9F>,0
